Year,Geo_Level,State_ANSI,Commodity_ID,Value
2018,STATE,8,2,1488000.00
2018,STATE,12,2,10535000.00
2018,STATE,13,2,3332000.00
2018,STATE,15,2,1751000.00
2018,STATE,16,2,2976000.00
2018,STATE,17,2,451000.00
2018,STATE,18,2,322000.00
2018,STATE,19,2,1862000.00
2018,STATE,20,2,365000.00
2018,STATE,21,2,164000.00
2018,STATE,22,2,3735000.00
2018,STATE,23,2,384000.00
2018,STATE,26,2,4268000.00
2018,STATE,27,2,7259000.00
2018,STATE,28,2,1740000.00
2018,STATE,29,2,405000.00
2018,STATE,30,2,14720000.00
2018,STATE,31,2,2360000.00
2018,STATE,34,2,403000.00
2018,STATE,36,2,2688000.00
2018,STATE,37,2,330000.00
2018,STATE,38,2,39600000.00
2018,STATE,39,2,1022000.00
2018,STATE,41,2,3255000.00
2018,STATE,,2,1399000.00
2018,STATE,42,2,836000.00
2018,STATE,45,2,768000.00
2018,STATE,46,2,11985000.00
2018,STATE,47,2,322000.00
2018,STATE,48,2,7392000.00
2018,STATE,49,2,1066000.00
2018,STATE,50,2,336000.00
2018,STATE,51,2,160000.00
2018,STATE,53,2,3311000.00
2018,STATE,54,2,222000.00
2018,STATE,55,2,2295000.00
2018,STATE,56,2,2184000.00
2017,STATE,1,2,315000.00
2017,STATE,4,2,880000.00
2017,STATE,5,2,1972000.00
2017,STATE,6,2,13735000.00
2017,STATE,8,2,1419000.00
2017,STATE,12,2,8815000.00
2017,STATE,13,2,3168000.00
2017,STATE,15,2,2489000.00
2017,STATE,16,2,4180000.00
2017,STATE,17,2,506000.00
2017,STATE,18,2,416000.00
2017,STATE,19,2,2030000.00
2017,STATE,20,2,553000.00
2017,STATE,21,2,190000.00
2017,STATE,22,2,3483000.00
2017,STATE,23,2,396000.00
2017,STATE,26,2,3915000.00
2017,STATE,27,2,7812000.00
2017,STATE,28,2,1548000.00
2017,STATE,29,2,520000.00
2017,STATE,30,2,10440000.00
2017,STATE,31,2,2646000.00
2017,STATE,34,2,364000.00
2017,STATE,36,2,3192000.00
2017,STATE,37,2,451000.00
2017,STATE,38,2,33670000.00
2017,STATE,39,2,1095000.00
2017,STATE,41,2,3120000.00
2017,STATE,,2,1518000.00
2017,STATE,42,2,736000.00
2017,STATE,45,2,544000.00
2017,STATE,46,2,14535000.00
2017,STATE,47,2,287000.00
2017,STATE,48,2,7920000.00
2017,STATE,49,2,837000.00
2017,STATE,50,2,378000.00
2017,STATE,51,2,210000.00
2017,STATE,53,2,3465000.00
2017,STATE,54,2,240000.00
2017,STATE,55,2,2968000.00
2017,STATE,56,2,2067000.00
2016,STATE,1,2,364000.00
2016,STATE,4,2,1242000.00
2016,STATE,5,2,1656000.00
2016,STATE,6,2,11160000.00
2016,STATE,8,2,1280000.00
2016,STATE,12,2,10750000.00
2016,STATE,13,2,3744000.00
2016,STATE,15,2,2034000.00
2016,STATE,16,2,3298000.00
2016,STATE,17,2,480000.00
2016,STATE,18,2,496000.00
2016,STATE,19,2,1776000.00
2016,STATE,20,2,336000.00
2016,STATE,21,2,230000.00
2016,STATE,22,2,4300000.00
2016,STATE,23,2,408000.00
2016,STATE,26,2,5340000.00
2016,STATE,27,2,7316000.00
2016,STATE,28,2,1615000.00
2016,STATE,29,2,496000.00
2016,STATE,30,2,12243000.00
2016,STATE,31,2,2208000.00
2016,STATE,34,2,324000.00
2016,STATE,36,2,3648000.00
2016,STATE,37,2,444000.00
2016,STATE,38,2,37830000.00
2016,STATE,39,2,1185000.00
2016,STATE,41,2,2590000.00
2016,STATE,,2,1601000.00
